Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
3rd,B.Tech IT,Blockchain Development,Python Go Rust,3,No,Software Engineer,Presentation skills,Peer groups,18,7,11,10,13,19,11,16,Emotional Intelligence Active Listening,2,115,Software Engineer
4th,M.Sc Data Science,Computer Vision,Java Kotlin Swift,2,No,Business Analyst,Interview anxiety,Workshops,10,9,19,19,12,19,15,13,Leadership Creativity Critical-Thinking,2,124,Cybersecurity Analyst
1st,B.Tech CSE,Data Engineering,JavaScript TypeScript Python,4,Yes,Business Analyst,Presentation skills,Online resources,8,19,5,11,18,16,14,6,Leadership Creativity Critical-Thinking,2,109,Cybersecurity Analyst
2nd,MCA,NLP,C# .NET SQL,2,Yes,Business Analyst,Presentation skills,Mentorship programs,10,10,19,12,8,10,18,11,Presentation Skills Public Speaking,2,106,Software Engineer
1st,MCA,Mobile App Development,PHP JavaScript MySQL,2,No,AI Engineer,Procrastination,Internships,14,18,20,18,16,8,13,17,Presentation Skills Public Speaking,4,136,Data Scientist
4th,B.Sc Computer Science,Network Security,Python R SQL,3,Yes,Software Engineer,Lack of resources,Online resources,16,8,8,10,17,19,14,15,Time-Management Resilience Negotiation,3,119,Software Engineer
3rd,B.Tech IT,Data Engineering,MATLAB Python C,3,Yes,Cybersecurity Analyst,Lack of resources,Peer groups,13,9,7,14,14,9,17,13,Presentation Skills Public Speaking,2,106,Software Engineer
3rd,MBA,Penetration Testing,Python R SQL,5,Yes,Cloud Architect,Time management,Mentorship programs,20,14,20,15,17,19,20,10,Time-Management Resilience Negotiation,2,149,AI Engineer
2nd,M.Sc Data Science,DevOps,JavaScript TypeScript Python,5,Yes,Cloud Architect,Interview anxiety,Internships,10,13,16,20,14,13,18,17,Conflict Resolution Team Leadership,4,139,Data Scientist
2nd,B.Tech CSE,Deep Learning,Julia Python R,3,No,Cybersecurity Analyst,Interview anxiety,Workshops,19,7,18,18,18,11,15,6,Presentation Skills Public Speaking,2,122,Software Engineer
3rd,MCA,Data Engineering,Scala Java Python,3,Yes,Business Analyst,Time management,Mentorship programs,11,15,12,16,9,19,15,8,Time-Management Resilience Negotiation,1,113,Cybersecurity Analyst
4th,MCA,Data Visualization,PHP JavaScript MySQL,1,No,Software Engineer,Team collaboration,Mentorship programs,12,9,13,20,16,14,20,10,Leadership Creativity Critical-Thinking,3,122,Cybersecurity Analyst
4th,B.Tech CSE,Computer Vision,Scala Java Python,5,No,AI Engineer,Presentation skills,Online resources,19,7,10,11,14,19,11,8,Emotional Intelligence Active Listening,5,119,Cybersecurity Analyst
3rd,B.Tech CSE,Data Engineering,JavaScript TypeScript Python,5,No,Cybersecurity Analyst,Procrastination,Workshops,9,8,16,15,13,10,19,8,Collaboration Empathy Teamwork,3,114,Software Engineer
4th,B.Tech IT,Data Engineering,Scala Java Python,5,Yes,AI Engineer,Lack of resources,Online resources,17,16,7,14,18,20,12,14,Emotional Intelligence Active Listening,1,130,AI Engineer
2nd,M.Sc Data Science,AI Fundamentals,C# .NET SQL,2,No,Cloud Architect,Presentation skills,Mentorship programs,18,11,20,11,16,19,10,6,Strategic Thinking Analytical Skills,1,117,Software Engineer
4th,MBA,Mobile App Development,Julia Python R,5,No,Data Scientist,Interview anxiety,Internships,17,6,11,16,20,13,11,9,Communication Adaptability Problem-Solving,5,123,Cybersecurity Analyst
3rd,M.Sc Data Science,Business Intelligence,JavaScript TypeScript Python,2,Yes,Software Engineer,Procrastination,Workshops,16,11,9,10,17,8,19,15,Collaboration Empathy Teamwork,3,115,Software Engineer
4th,M.Sc Data Science,IoT Applications,JavaScript TypeScript Python,4,No,Business Analyst,Time management,Mentorship programs,9,14,13,10,8,10,10,20,Time-Management Resilience Negotiation,2,106,Software Engineer
4th,B.Tech IT,Penetration Testing,PHP JavaScript MySQL,1,No,Cybersecurity Analyst,Presentation skills,Workshops,14,5,18,12,15,18,14,7,Communication Adaptability Problem-Solving,4,113,Software Engineer
3rd,B.Tech IT,IoT Applications,R SAS Python,3,No,Business Analyst,Lack of resources,Mentorship programs,17,17,11,11,19,16,14,8,Decision-Making Flexibility Innovation,2,123,Cybersecurity Analyst
4th,MBA,DevOps,MATLAB Python C,3,No,Data Scientist,Time management,Peer groups,14,12,15,19,17,8,12,15,Leadership Creativity Critical-Thinking,2,122,Cybersecurity Analyst
1st,MCA,Network Security,Julia Python R,1,No,Software Engineer,Time management,Online resources,18,13,17,19,9,11,17,19,Emotional Intelligence Active Listening,2,129,AI Engineer
2nd,M.Sc Data Science,Business Intelligence,R SAS Python,3,No,Data Scientist,Team collaboration,Internships,18,18,16,11,16,20,14,17,Strategic Thinking Analytical Skills,2,140,AI Engineer
3rd,B.Tech CSE,Blockchain Development,Julia Python R,1,No,Business Analyst,Interview anxiety,Internships,10,13,7,19,9,10,15,6,Conflict Resolution Team Leadership,3,97,Business Analyst
1st,B.Sc Computer Science,AI Fundamentals,C# .NET SQL,4,No,AI Engineer,Procrastination,Mentorship programs,14,10,14,11,11,19,11,15,Communication Adaptability Problem-Solving,5,123,Software Engineer
3rd,MCA,Cloud Infrastructure,Java Kotlin Swift,4,No,Data Scientist,Time management,Workshops,18,10,7,13,19,20,17,16,Communication Adaptability Problem-Solving,5,138,Data Scientist
2nd,B.Sc Computer Science,Full Stack Development,Java Kotlin Swift,4,No,Data Scientist,Procrastination,Peer groups,19,18,15,13,11,19,14,16,Conflict Resolution Team Leadership,2,137,Cloud Architect
3rd,B.Tech CSE,NLP,C# .NET SQL,4,Yes,AI Engineer,Lack of resources,Workshops,16,15,14,10,19,14,20,12,Leadership Creativity Critical-Thinking,2,132,AI Engineer
2nd,MBA,Deep Learning,JavaScript TypeScript Python,5,Yes,Cybersecurity Analyst,Presentation skills,Online resources,14,19,9,16,16,10,15,19,Decision-Making Flexibility Innovation,3,134,Data Scientist
1st,B.Sc Computer Science,Data Visualization,R SAS Python,1,No,Cybersecurity Analyst,Interview anxiety,Workshops,10,11,8,17,14,14,11,13,Leadership Creativity Critical-Thinking,2,104,Business Analyst
4th,MBA,Business Intelligence,Python Java C++,5,Yes,Cloud Architect,Lack of resources,Workshops,15,10,20,16,10,10,11,19,Collaboration Empathy Teamwork,3,127,Cloud Architect
3rd,B.Tech IT,Network Security,Python Java C++,5,Yes,Cybersecurity Analyst,Lack of resources,Online resources,14,8,20,16,15,19,17,8,Decision-Making Flexibility Innovation,3,133,AI Engineer
3rd,MBA,Cloud Infrastructure,MATLAB Python C,2,Yes,AI Engineer,Time management,Mentorship programs,19,19,19,16,15,16,12,6,Decision-Making Flexibility Innovation,3,132,Cloud Architect
3rd,B.Tech CSE,Blockchain Development,Python Go Rust,3,No,Cloud Architect,Presentation skills,Mentorship programs,13,19,16,12,18,20,20,10,Conflict Resolution Team Leadership,1,136,Cloud Architect
1st,M.Sc Data Science,Blockchain Development,Python Go Rust,2,No,Cloud Architect,Lack of resources,Workshops,17,13,7,13,13,12,14,13,Strategic Thinking Analytical Skills,5,116,Cybersecurity Analyst
2nd,B.Sc Computer Science,Cloud Infrastructure,JavaScript TypeScript Python,3,No,Cloud Architect,Time management,Peer groups,17,20,17,20,16,8,11,11,Time-Management Resilience Negotiation,1,128,AI Engineer
4th,MCA,Cloud Security,JavaScript TypeScript Python,4,No,Business Analyst,Presentation skills,Mentorship programs,18,10,12,11,18,15,16,11,Conflict Resolution Team Leadership,1,121,Software Engineer
4th,B.Tech CSE,Deep Learning,Python Java C++,5,Yes,Software Engineer,Team collaboration,Workshops,17,19,11,18,13,19,20,15,Strategic Thinking Analytical Skills,4,150,AI Engineer
1st,MCA,Computer Vision,PHP JavaScript MySQL,5,Yes,AI Engineer,Time management,Internships,17,14,15,11,17,10,10,7,Conflict Resolution Team Leadership,1,113,Software Engineer
1st,MBA,IoT Applications,JavaScript TypeScript Python,4,Yes,Cybersecurity Analyst,Procrastination,Internships,16,12,9,19,19,12,16,11,Communication Adaptability Problem-Solving,3,128,Data Scientist
1st,B.Tech IT,DevOps,C# .NET SQL,5,No,Data Scientist,Lack of resources,Peer groups,13,10,9,17,9,15,15,9,Decision-Making Flexibility Innovation,3,113,Cybersecurity Analyst
1st,MCA,Data Engineering,PHP JavaScript MySQL,1,Yes,Software Engineer,Lack of resources,Workshops,17,15,13,11,8,14,15,5,Communication Adaptability Problem-Solving,4,108,Software Engineer
4th,B.Tech IT,Network Security,Python Go Rust,2,No,Data Scientist,Interview anxiety,Peer groups,14,18,7,14,8,14,15,15,Emotional Intelligence Active Listening,3,115,Cybersecurity Analyst
3rd,MBA,Cloud Security,JavaScript TypeScript Python,4,Yes,Cybersecurity Analyst,Interview anxiety,Internships,13,14,9,11,18,9,14,13,Collaboration Empathy Teamwork,1,111,Cybersecurity Analyst
4th,M.Sc Data Science,AI Fundamentals,PHP JavaScript MySQL,2,Yes,Cloud Architect,Presentation skills,Workshops,15,14,8,14,10,11,11,13,Conflict Resolution Team Leadership,4,108,Cybersecurity Analyst
4th,MBA,Deep Learning,Python Java C++,3,No,Cloud Architect,Procrastination,Internships,20,8,12,18,18,9,13,10,Emotional Intelligence Active Listening,4,122,Cybersecurity Analyst
3rd,M.Sc Data Science,Embedded Systems,Java Kotlin Swift,4,No,Business Analyst,Team collaboration,Online resources,13,5,5,12,9,16,20,17,Presentation Skills Public Speaking,2,109,Software Engineer
2nd,B.Tech IT,Computer Vision,Python Java C++,5,No,Cybersecurity Analyst,Presentation skills,Online resources,20,16,12,20,9,15,10,20,Decision-Making Flexibility Innovation,3,138,Cloud Architect
3rd,B.Sc Computer Science,Business Intelligence,Julia Python R,1,Yes,Software Engineer,Time management,Workshops,10,19,7,19,18,14,19,20,Decision-Making Flexibility Innovation,4,136,Data Scientist
4th,B.Tech CSE,NLP,Scala Java Python,1,Yes,AI Engineer,Procrastination,Online resources,14,9,10,14,15,19,12,20,Leadership Creativity Critical-Thinking,5,125,Cybersecurity Analyst
1st,MBA,Blockchain Development,Python Go Rust,3,No,Software Engineer,Interview anxiety,Mentorship programs,10,14,20,16,15,15,11,11,Collaboration Empathy Teamwork,1,120,Cybersecurity Analyst
4th,B.Tech IT,Embedded Systems,MATLAB Python C,2,No,Business Analyst,Lack of resources,Peer groups,15,18,11,19,18,11,15,16,Communication Adaptability Problem-Solving,5,137,Data Scientist
1st,B.Tech IT,Cloud Infrastructure,Scala Java Python,1,No,Cloud Architect,Time management,Online resources,13,18,14,13,10,8,13,11,Presentation Skills Public Speaking,2,106,Cybersecurity Analyst
4th,MBA,Cloud Security,PHP JavaScript MySQL,3,Yes,Business Analyst,Interview anxiety,Workshops,12,17,10,15,13,20,18,7,Collaboration Empathy Teamwork,3,124,Cybersecurity Analyst
2nd,M.Sc Data Science,AI Fundamentals,MATLAB Python C,4,Yes,AI Engineer,Lack of resources,Mentorship programs,9,6,7,20,18,9,11,18,Conflict Resolution Team Leadership,4,114,Cybersecurity Analyst
4th,MCA,Network Security,Python Java C++,3,Yes,Business Analyst,Presentation skills,Workshops,12,11,11,10,11,16,11,9,Presentation Skills Public Speaking,3,103,Business Analyst
2nd,B.Sc Computer Science,Deep Learning,JavaScript TypeScript Python,4,No,AI Engineer,Interview anxiety,Online resources,16,20,15,10,13,9,18,20,Conflict Resolution Team Leadership,4,137,Data Scientist
1st,MBA,Data Visualization,PHP JavaScript MySQL,4,No,Business Analyst,Team collaboration,Peer groups,18,13,20,17,13,20,11,9,Communication Adaptability Problem-Solving,1,131,AI Engineer
3rd,B.Tech CSE,Business Intelligence,Scala Java Python,4,Yes,Software Engineer,Presentation skills,Peer groups,12,8,11,13,10,13,20,16,Communication Adaptability Problem-Solving,5,121,Cybersecurity Analyst
1st,MBA,Blockchain Development,C# .NET SQL,4,No,Software Engineer,Team collaboration,Workshops,9,5,7,12,9,16,18,8,Collaboration Empathy Teamwork,3,98,Business Analyst
3rd,B.Sc Computer Science,Penetration Testing,JavaScript TypeScript Python,3,Yes,Business Analyst,Presentation skills,Mentorship programs,10,18,11,20,9,18,20,18,Leadership Creativity Critical-Thinking,5,140,Cloud Architect
3rd,B.Sc Computer Science,Computer Vision,Python Go Rust,2,Yes,Cloud Architect,Presentation skills,Peer groups,13,12,19,11,19,15,10,16,Conflict Resolution Team Leadership,3,125,Cybersecurity Analyst
1st,B.Sc Computer Science,Cloud Security,Scala Java Python,3,Yes,Cybersecurity Analyst,Time management,Peer groups,20,18,11,12,16,16,16,16,Time-Management Resilience Negotiation,2,135,AI Engineer
1st,MBA,Embedded Systems,MATLAB Python C,4,No,Business Analyst,Interview anxiety,Workshops,18,11,5,10,16,11,12,8,Leadership Creativity Critical-Thinking,1,101,Business Analyst
3rd,B.Tech IT,Cloud Security,Julia Python R,5,Yes,Data Scientist,Time management,Workshops,15,20,11,17,11,20,12,9,Leadership Creativity Critical-Thinking,5,135,AI Engineer
4th,B.Tech IT,Data Visualization,Scala Java Python,5,No,Cloud Architect,Interview anxiety,Internships,8,17,13,13,9,8,13,19,Collaboration Empathy Teamwork,3,116,Cybersecurity Analyst
1st,MBA,Mobile App Development,Python Go Rust,4,Yes,Software Engineer,Interview anxiety,Mentorship programs,10,19,12,17,20,17,13,11,Strategic Thinking Analytical Skills,4,135,Cloud Architect
1st,B.Tech CSE,Data Visualization,PHP JavaScript MySQL,1,Yes,Software Engineer,Presentation skills,Internships,16,9,20,13,17,14,14,9,Presentation Skills Public Speaking,2,118,Software Engineer
4th,B.Tech CSE,Embedded Systems,MATLAB Python C,4,No,Business Analyst,Presentation skills,Internships,14,14,17,16,15,19,11,20,Leadership Creativity Critical-Thinking,2,138,Data Scientist
2nd,MBA,Cloud Infrastructure,Scala Java Python,5,No,Cybersecurity Analyst,Interview anxiety,Peer groups,12,18,18,19,8,18,10,20,Collaboration Empathy Teamwork,5,143,Cloud Architect
4th,B.Tech CSE,Full Stack Development,Java Kotlin Swift,3,Yes,Cybersecurity Analyst,Team collaboration,Online resources,20,9,6,15,18,18,18,9,Strategic Thinking Analytical Skills,1,121,Software Engineer
1st,MCA,Data Visualization,PHP JavaScript MySQL,2,No,Software Engineer,Procrastination,Online resources,12,7,14,15,14,14,16,7,Communication Adaptability Problem-Solving,2,107,Software Engineer
4th,M.Sc Data Science,Computer Vision,Python R SQL,3,Yes,Cybersecurity Analyst,Presentation skills,Internships,18,15,8,16,16,18,14,14,Communication Adaptability Problem-Solving,2,129,AI Engineer
2nd,B.Sc Computer Science,Full Stack Development,Python Go Rust,4,Yes,AI Engineer,Interview anxiety,Peer groups,9,19,16,12,16,12,14,14,Time-Management Resilience Negotiation,1,122,Cybersecurity Analyst
4th,MBA,Data Engineering,Scala Java Python,4,No,Cloud Architect,Lack of resources,Internships,10,8,15,11,19,20,11,13,Communication Adaptability Problem-Solving,2,119,Software Engineer
2nd,B.Tech CSE,Data Visualization,R SAS Python,1,Yes,Business Analyst,Presentation skills,Peer groups,12,11,8,14,13,10,11,15,Decision-Making Flexibility Innovation,2,100,Business Analyst
3rd,MBA,NLP,R SAS Python,2,Yes,Cybersecurity Analyst,Interview anxiety,Workshops,15,17,11,13,15,12,12,7,Leadership Creativity Critical-Thinking,2,110,Software Engineer
1st,B.Tech IT,Deep Learning,C# .NET SQL,5,Yes,AI Engineer,Procrastination,Workshops,14,8,16,18,15,13,10,10,Presentation Skills Public Speaking,4,122,Software Engineer
4th,MBA,Cloud Security,Python Go Rust,4,No,Business Analyst,Lack of resources,Online resources,11,15,10,19,13,16,17,13,Strategic Thinking Analytical Skills,3,128,AI Engineer
3rd,MCA,Blockchain Development,R SAS Python,3,Yes,Software Engineer,Procrastination,Internships,20,6,13,19,12,16,12,16,Time-Management Resilience Negotiation,2,124,Cybersecurity Analyst
4th,MBA,Network Security,Python R SQL,2,No,Cybersecurity Analyst,Lack of resources,Mentorship programs,13,19,12,19,14,15,11,8,Decision-Making Flexibility Innovation,1,117,Cybersecurity Analyst
3rd,B.Sc Computer Science,IoT Applications,Java Kotlin Swift,1,No,Software Engineer,Team collaboration,Internships,9,15,5,14,20,15,14,16,Time-Management Resilience Negotiation,2,114,Software Engineer
2nd,MCA,Data Visualization,R SAS Python,3,Yes,Data Scientist,Time management,Internships,20,14,18,11,13,14,10,14,Decision-Making Flexibility Innovation,2,124,Software Engineer
3rd,MCA,Data Engineering,Python Go Rust,3,Yes,Cloud Architect,Procrastination,Online resources,9,18,18,16,18,20,13,16,Presentation Skills Public Speaking,4,142,Cloud Architect
2nd,B.Tech CSE,DevOps,Java Kotlin Swift,5,No,Business Analyst,Team collaboration,Peer groups,16,18,16,20,12,19,17,16,Leadership Creativity Critical-Thinking,1,146,Data Scientist
1st,MCA,Business Intelligence,Java Kotlin Swift,3,No,Software Engineer,Procrastination,Workshops,12,19,9,17,20,17,12,15,Leadership Creativity Critical-Thinking,2,131,Data Scientist
1st,B.Sc Computer Science,AI Fundamentals,Julia Python R,3,No,Cybersecurity Analyst,Time management,Peer groups,19,14,13,19,17,20,10,16,Decision-Making Flexibility Innovation,5,144,Data Scientist
2nd,M.Sc Data Science,Full Stack Development,R SAS Python,2,Yes,Cloud Architect,Presentation skills,Mentorship programs,18,6,15,16,12,16,15,12,Leadership Creativity Critical-Thinking,2,118,Software Engineer
1st,B.Tech IT,Deep Learning,MATLAB Python C,4,Yes,Cloud Architect,Time management,Online resources,14,10,14,18,20,11,18,8,Decision-Making Flexibility Innovation,5,131,Data Scientist
3rd,M.Sc Data Science,Cloud Security,C# .NET SQL,5,Yes,Business Analyst,Interview anxiety,Online resources,9,18,18,18,12,17,16,15,Presentation Skills Public Speaking,5,143,Data Scientist
2nd,B.Tech CSE,Penetration Testing,PHP JavaScript MySQL,2,Yes,Cybersecurity Analyst,Lack of resources,Mentorship programs,10,6,15,12,12,12,11,9,Leadership Creativity Critical-Thinking,4,99,Business Analyst
2nd,MCA,Computer Vision,C# .NET SQL,2,Yes,AI Engineer,Procrastination,Peer groups,19,16,16,19,18,19,12,11,Time-Management Resilience Negotiation,2,138,AI Engineer
1st,MCA,Mobile App Development,Python Java C++,2,Yes,Software Engineer,Interview anxiety,Online resources,11,16,5,11,16,12,11,6,Communication Adaptability Problem-Solving,4,100,Business Analyst
4th,B.Tech IT,Blockchain Development,R SAS Python,1,No,AI Engineer,Presentation skills,Online resources,11,18,9,14,11,10,17,11,Time-Management Resilience Negotiation,4,111,Cybersecurity Analyst
1st,MBA,Business Intelligence,Julia Python R,3,Yes,Software Engineer,Procrastination,Online resources,10,14,8,12,10,12,17,12,Conflict Resolution Team Leadership,4,109,Software Engineer
1st,B.Tech IT,Deep Learning,Java Kotlin Swift,5,No,AI Engineer,Procrastination,Peer groups,9,20,18,17,16,15,20,20,Time-Management Resilience Negotiation,5,155,Data Scientist
4th,B.Sc Computer Science,Business Intelligence,Julia Python R,3,No,Data Scientist,Procrastination,Internships,18,19,12,17,17,8,20,19,Time-Management Resilience Negotiation,4,144,Cloud Architect
3rd,M.Sc Data Science,Mobile App Development,MATLAB Python C,1,Yes,Cloud Architect,Presentation skills,Workshops,11,12,9,14,14,17,11,7,Communication Adaptability Problem-Solving,5,107,Software Engineer
4th,B.Tech CSE,Data Visualization,Python Java C++,2,Yes,Cloud Architect,Time management,Internships,19,7,16,16,8,10,10,9,Conflict Resolution Team Leadership,4,107,Cybersecurity Analyst
3rd,B.Tech IT,Data Visualization,Python Java C++,1,No,AI Engineer,Procrastination,Peer groups,20,15,15,12,9,20,20,6,Strategic Thinking Analytical Skills,1,121,Software Engineer
1st,M.Sc Data Science,Penetration Testing,R SAS Python,5,No,AI Engineer,Lack of resources,Peer groups,15,7,7,18,11,17,12,11,Leadership Creativity Critical-Thinking,5,118,Software Engineer
1st,B.Tech CSE,Data Engineering,MATLAB Python C,2,Yes,Cloud Architect,Procrastination,Peer groups,12,13,6,11,18,11,16,6,Conflict Resolution Team Leadership,4,105,Business Analyst
1st,B.Tech IT,Mobile App Development,R SAS Python,2,Yes,Business Analyst,Interview anxiety,Peer groups,14,11,9,19,20,13,13,18,Conflict Resolution Team Leadership,1,123,Software Engineer
1st,M.Sc Data Science,Penetration Testing,PHP JavaScript MySQL,1,No,Data Scientist,Lack of resources,Internships,11,15,15,18,9,9,13,12,Leadership Creativity Critical-Thinking,4,112,Software Engineer
4th,B.Sc Computer Science,Data Visualization,Python Go Rust,4,Yes,Business Analyst,Procrastination,Mentorship programs,15,13,18,17,9,20,14,16,Conflict Resolution Team Leadership,5,140,Data Scientist
3rd,MBA,Business Intelligence,PHP JavaScript MySQL,2,No,Data Scientist,Lack of resources,Peer groups,12,17,15,15,19,11,10,9,Emotional Intelligence Active Listening,1,114,Cybersecurity Analyst
3rd,B.Tech IT,Full Stack Development,Python Java C++,4,Yes,Business Analyst,Interview anxiety,Mentorship programs,13,8,11,13,10,13,20,8,Presentation Skills Public Speaking,1,106,Software Engineer
1st,MBA,Deep Learning,MATLAB Python C,4,Yes,Software Engineer,Time management,Online resources,8,17,13,14,16,8,11,8,Emotional Intelligence Active Listening,3,109,Cybersecurity Analyst
1st,B.Tech IT,Cloud Infrastructure,Java Kotlin Swift,1,No,AI Engineer,Team collaboration,Online resources,18,7,20,12,16,9,20,11,Decision-Making Flexibility Innovation,2,119,Software Engineer
2nd,MBA,NLP,PHP JavaScript MySQL,5,Yes,AI Engineer,Procrastination,Internships,8,8,5,17,8,10,19,20,Emotional Intelligence Active Listening,2,109,Cybersecurity Analyst
1st,B.Tech IT,Network Security,JavaScript TypeScript Python,1,No,Data Scientist,Interview anxiety,Online resources,16,5,19,17,13,9,15,8,Time-Management Resilience Negotiation,5,114,Software Engineer
1st,MCA,Embedded Systems,Python Java C++,1,No,Cloud Architect,Team collaboration,Online resources,11,10,20,13,17,15,13,17,Presentation Skills Public Speaking,2,122,Software Engineer
1st,B.Tech CSE,AI Fundamentals,Julia Python R,1,No,Business Analyst,Team collaboration,Online resources,19,18,8,14,20,18,10,8,Time-Management Resilience Negotiation,4,125,Software Engineer
1st,B.Sc Computer Science,Cloud Security,Julia Python R,2,Yes,Data Scientist,Lack of resources,Online resources,8,9,14,20,16,15,13,16,Conflict Resolution Team Leadership,1,117,Software Engineer
1st,B.Tech IT,AI Fundamentals,R SAS Python,3,No,Data Scientist,Time management,Internships,17,10,8,16,11,11,12,17,Time-Management Resilience Negotiation,5,118,Cybersecurity Analyst
2nd,B.Tech CSE,Embedded Systems,Julia Python R,2,No,Cybersecurity Analyst,Lack of resources,Online resources,11,16,11,13,19,13,13,7,Conflict Resolution Team Leadership,1,109,Cybersecurity Analyst
1st,B.Sc Computer Science,Cloud Security,C# .NET SQL,2,No,AI Engineer,Procrastination,Internships,11,9,11,16,8,20,14,9,Collaboration Empathy Teamwork,4,110,Software Engineer
1st,B.Sc Computer Science,Full Stack Development,JavaScript TypeScript Python,4,Yes,Cloud Architect,Presentation skills,Online resources,8,16,5,15,12,13,19,11,Collaboration Empathy Teamwork,1,109,Software Engineer
1st,B.Tech IT,Mobile App Development,Java Kotlin Swift,3,Yes,Business Analyst,Interview anxiety,Online resources,8,20,18,15,8,16,11,7,Strategic Thinking Analytical Skills,4,117,Cybersecurity Analyst
2nd,M.Sc Data Science,Cloud Infrastructure,MATLAB Python C,1,Yes,Software Engineer,Procrastination,Online resources,8,17,15,20,20,20,13,5,Leadership Creativity Critical-Thinking,5,130,Data Scientist
1st,M.Sc Data Science,Penetration Testing,Python R SQL,5,Yes,Cloud Architect,Presentation skills,Peer groups,19,5,14,10,13,10,18,15,Time-Management Resilience Negotiation,1,116,Cybersecurity Analyst
4th,MCA,Data Engineering,Python Java C++,2,No,AI Engineer,Team collaboration,Workshops,16,8,19,11,16,19,17,16,Collaboration Empathy Teamwork,1,128,AI Engineer
1st,M.Sc Data Science,Cloud Security,Java Kotlin Swift,5,No,Business Analyst,Presentation skills,Peer groups,15,15,5,20,12,17,15,13,Conflict Resolution Team Leadership,3,128,Cloud Architect
3rd,B.Tech IT,Data Engineering,C# .NET SQL,1,Yes,Software Engineer,Lack of resources,Internships,12,16,5,16,8,19,11,16,Emotional Intelligence Active Listening,3,111,Software Engineer
2nd,M.Sc Data Science,AI Fundamentals,Python Java C++,3,Yes,Data Scientist,Interview anxiety,Online resources,14,11,12,20,14,13,18,9,Time-Management Resilience Negotiation,4,125,Cybersecurity Analyst
1st,B.Tech IT,Cloud Infrastructure,C# .NET SQL,1,No,Software Engineer,Lack of resources,Online resources,19,15,15,18,11,9,10,13,Strategic Thinking Analytical Skills,4,120,Software Engineer
1st,MBA,Data Engineering,Java Kotlin Swift,4,No,Cloud Architect,Team collaboration,Peer groups,16,16,5,11,16,16,10,13,Leadership Creativity Critical-Thinking,1,113,Software Engineer
2nd,B.Sc Computer Science,Data Visualization,MATLAB Python C,4,Yes,Cybersecurity Analyst,Team collaboration,Internships,16,10,19,11,8,14,19,14,Strategic Thinking Analytical Skills,4,127,Cloud Architect
4th,MBA,Cloud Infrastructure,MATLAB Python C,1,No,Business Analyst,Presentation skills,Workshops,18,5,13,14,14,8,18,18,Time-Management Resilience Negotiation,5,120,Software Engineer
4th,MCA,Computer Vision,C# .NET SQL,4,No,Data Scientist,Procrastination,Workshops,20,7,16,11,14,19,18,13,Strategic Thinking Analytical Skills,4,134,AI Engineer
1st,MBA,Deep Learning,MATLAB Python C,4,No,AI Engineer,Lack of resources,Workshops,13,13,16,12,14,8,17,20,Collaboration Empathy Teamwork,1,123,Cybersecurity Analyst
2nd,B.Sc Computer Science,Deep Learning,R SAS Python,4,Yes,Business Analyst,Presentation skills,Workshops,15,17,8,15,15,10,16,18,Collaboration Empathy Teamwork,4,130,Data Scientist
2nd,B.Tech CSE,IoT Applications,R SAS Python,4,Yes,AI Engineer,Time management,Mentorship programs,11,18,20,11,17,15,11,17,Collaboration Empathy Teamwork,1,130,AI Engineer
4th,B.Tech IT,Business Intelligence,Julia Python R,4,Yes,Cloud Architect,Lack of resources,Online resources,19,10,7,16,17,15,20,18,Collaboration Empathy Teamwork,5,140,AI Engineer
2nd,MBA,Full Stack Development,Julia Python R,2,No,AI Engineer,Presentation skills,Workshops,19,6,18,14,10,19,13,7,Collaboration Empathy Teamwork,5,120,Software Engineer
3rd,M.Sc Data Science,NLP,Python Go Rust,1,No,Software Engineer,Interview anxiety,Mentorship programs,9,17,13,10,15,12,19,19,Leadership Creativity Critical-Thinking,2,120,Cybersecurity Analyst
3rd,M.Sc Data Science,Embedded Systems,Java Kotlin Swift,4,No,AI Engineer,Team collaboration,Online resources,13,15,9,18,14,17,14,15,Collaboration Empathy Teamwork,2,127,Data Scientist
4th,B.Tech CSE,Penetration Testing,Julia Python R,4,Yes,Cybersecurity Analyst,Time management,Mentorship programs,14,7,14,11,15,13,19,6,Leadership Creativity Critical-Thinking,1,109,Software Engineer
1st,B.Tech IT,Computer Vision,Julia Python R,3,Yes,Cybersecurity Analyst,Presentation skills,Mentorship programs,11,5,14,15,14,17,12,7,Emotional Intelligence Active Listening,2,105,Business Analyst
1st,B.Tech CSE,Network Security,Scala Java Python,4,No,Software Engineer,Time management,Mentorship programs,19,16,9,18,12,13,15,13,Decision-Making Flexibility Innovation,1,125,Cybersecurity Analyst
2nd,B.Tech CSE,Cloud Security,Python Java C++,1,No,Data Scientist,Interview anxiety,Workshops,17,18,11,13,17,12,17,13,Collaboration Empathy Teamwork,3,126,Cloud Architect
2nd,MBA,Computer Vision,Python Java C++,5,No,Cybersecurity Analyst,Lack of resources,Internships,14,19,13,17,10,18,15,17,Decision-Making Flexibility Innovation,2,137,AI Engineer
